,basin,date,well_ID,D,T,EC,pH,TH,TDS,Cl,NH4,NO3,SO4,TOC,As,Fe,Mn,X,Y,year,,,,,,
37,Jianan,1/19/2008,4203,3.909,28.4,797,7.1,352,524,42.4,2.21,0.01,101,2.07,0.0038,1.84,0.217,120.323062,22.589542,2008,,,,,,
38,Jianan,11/10/2007,4203,3.876,28.5,857,7.2,360,538,43.9,2.19,0.01,97.7,2.44,0.0033,2.44,0.367,120.323062,22.589542,2007,,,,,,
39,Jianan,8/7/2007,4203,4.091,28.1,915,7.1,387,588,42.5,2.1,0.08,101,2.36,0.0029,2.3,0.266,120.323062,22.589542,2007,,,,,,
40,Jianan,5/7/2007,4203,4.004,28.8,900,7,355,546,39.5,2.1,0.03,99.4,2.28,0.0032,2.2,0.27,120.323062,22.589542,2007,,,,,,
41,Jianan,1/20/2007,4203,4.147,28,889,7.1,359,508,40.2,2.18,0.03,95.8,2.18,0.0027,1.76,0.205,120.323062,22.589542,2007,,,,,,
42,Jianan,10/1/2016,4203,3.253,29,1180,6.9,439,656,42.6,0.67,0.01,108,4.66,0.0093,1.78,1.48,120.323062,22.589542,2016,,,,,,
43,Jianan,7/12/2016,4203,3.224,28.7,843,7,338,524,38,2.33,0.01,107,4.28,0.0048,2.88,0.584,120.323062,22.589542,2016,,,,,,
44,Jianan,4/19/2016,4203,3.64,29,889,6.9,354,570,43.2,2.23,0.01,96.6,3.36,0.0048,2.68,0.743,120.323062,22.589542,2016,,,,,,
45,Jianan,1/15/2016,4203,3.652,29.3,890,6.9,378,574,32.7,1.89,0.01,91.8,2.46,0.0068,0.005,0.92,120.323062,22.589542,2016,,,,,,
46,Jianan,7/8/2015,4203,3.63,28.9,985,6.9,386,601,44.7,1.48,0.01,104,2.72,0.0059,2.73,0.882,120.323062,22.589542,2015,,,,,,
47,Jianan,4/18/2015,4203,4.352,29,991,6.9,425,612,42.8,1.95,0.01,122,4.27,0.0054,2.67,0.994,120.323062,22.589542,2015,,,,,,
48,Jianan,1/20/2015,4203,3.918,28.7,898,7,359,522,39.2,2.13,0.01,85.4,2.79,0.0049,2.58,0.61,120.323062,22.589542,2015,,,,,,
49,Jianan,10/27/2014,4203,3.81,28.6,901,7.1,357,558,39.4,2.25,0.01,86.9,2.96,0.0044,2.59,0.565,120.323062,22.589542,2014,,,,,,
50,Jianan,4/16/2014,4203,3.935,28,864,7,327,503,36.7,2.9,0.01,91.2,2.23,0.0003,2.11,0.358,120.323062,22.589542,2014,,,,,,
51,Jianan,10/10/2013,4203,3.705,28.9,800,7.1,312,459,37,2.61,0.02,66,3.74,0.0037,2.64,0.377,120.323062,22.589542,2013,,,,,,
52,Jianan,10/10/2012,4203,3.479,28.7,811,7,325,464,38.7,2.43,0.01,80.2,2.26,0.0039,1.2,0.371,120.323062,22.589542,2012,,,,,,
53,Jianan,4/14/2012,4203,3.835,28.9,763,7.1,296,534,37.5,3.2,0.01,77.2,1.77,0.0035,2.6,0.186,120.323062,22.589542,2012,,,,,,
54,Jianan,11/6/2020,4203,3.196,29,842,7.13,299,534,46.6,2.71,0.01,93.6,1.31,0.0042,2.09,0.234,120.323062,22.589542,2020,,,,,,
55,Jianan,4/21/2020,4203,4.002,29,911,7.14,315,628,62.3,3.01,0.01,77.6,1.62,0.0044,2.15,0.262,120.323062,22.589542,2020,,,,,,
56,Jianan,11/2/2019,4203,3.873,29.6,1010,7.16,345,571,86.1,2.78,0.02,90.2,1.92,0.0051,2.46,0.432,120.323062,22.589542,2019,,,,,,
57,Jianan,4/12/2019,4203,3.788,29.5,982,7.19,341,584,92.1,3.37,0.04,91.2,1.65,0.0035,2.63,0.28,120.323062,22.589542,2019,,,,,,
58,Jianan,3/22/2019,4203,3.874,30,867,6.9,360,561,39.2,1.85,0.18,116,3.08,0.01,2.58,0.536,120.323062,22.589542,2019,,,,,,
59,Jianan,10/18/2018,4203,3.892,29.5,923,7.12,326,549,63.4,2.42,0.02,82.7,4.34,0.0026,2.08,0.542,120.323062,22.589542,2018,,,,,,
60,Jianan,5/11/2018,4203,3.982,29.5,863,7.32,335,594,54.7,2.99,0.02,95,3.21,0.0046,2.4,0.27,120.323062,22.589542,2018,,,,,,
61,Jianan,1/18/2018,4203,4.021,29.7,765,6.98,279,489,34.1,2.8,0.01,78.5,2.74,0.0048,2.09,0.267,120.323062,22.589542,2018,,,,,,
62,Jianan,4/24/2017,4203,3.769,29.4,900,7.1,328,646,48.4,3.72,0.01,103,3.58,0.0042,2.34,0.342,120.323062,22.589542,2017,,,,,,
63,Jianan,1/17/2017,4203,4.853,29.2,927,7,359,590,46.5,3.15,0.01,107,2.3,0.0048,2.22,0.602,120.323062,22.589542,2017,,,,,,
64,Jianan,11/12/2001,4204,4.175,27.7,971,6.9,343,628,59.2,3.98,1.62,99,9.7,0.01,2.17,0.576,120.364118,22.615768,2001,,,,,,
65,Jianan,4/9/2001,4204,4.063,27.4,803,6.7,344,553,35.3,9.68,2.19,56.9,2.46,0.01,0.089,0.576,120.364118,22.615768,2001,,,,,,
66,Jianan,6/14/2001,4204,4.175,25,1160,6.7,343,622,25.2,4.17,1.5,122,2.46,0.01,2.17,0.722,120.364118,22.615768,2001,,,,,,
67,Jianan,11/21/2000,4204,4.063,26.3,1090,6.8,608,553,24.7,3.47,0.7,109,2.6,0.001,26.8,1.52,120.364118,22.615768,2000,,,,,,
69,Jianan,11/23/2006,4204,4.426,27.6,696,6.7,369,436,14.9,0.02,1.66,52,1.27,0.0007,0.089,0.049,120.364118,22.615768,2006,,,,,,
70,Jianan,8/25/2006,4204,4.063,27.4,831,6.5,401,673,15.5,0.02,4.48,81.5,2.58,0.0011,0.167,0.129,120.364118,22.615768,2006,,,,,,
71,Jianan,5/26/2006,4204,5.546,27.3,631,6.4,272,484,23.8,0.02,4.13,77.9,0.75,0.002,0.045,0.052,120.364118,22.615768,2006,,,,,,
72,Jianan,2/16/2006,4204,5.315,28.5,890,6.7,342,534,47.5,0.14,8.13,92.4,1.71,0.0005,0.142,0.148,120.364118,22.615768,2006,,,,,,
73,Jianan,11/14/2005,4204,4.68,28.4,857,6.5,380,528,54,0.21,1.64,88.4,4.64,0.0007,0.005,0.149,120.364118,22.615768,2005,,,,,,
74,Jianan,8/17/2005,4204,4.305,27.1,802,6.4,380,617,17.1,0.02,4.44,113,2.45,0.001,0.005,0.108,120.364118,22.615768,2005,,,,,,
75,Jianan,5/19/2005,4204,6.28,26.8,679,6.4,312,516,44.1,0.03,4.86,112,1.17,0.0011,0.005,0.035,120.364118,22.615768,2005,,,,,,
76,Jianan,2/17/2005,4204,5.994,27.5,630,6.2,251,399,26.2,0.02,2.2,106,1.38,0.0012,0.067,0.099,120.364118,22.615768,2005,,,,,,
77,Jianan,11/13/2004,4204,4.305,28.2,686,6.5,343,455,18.4,0.03,8.35,83.5,3.69,0.0012,0.043,0.099,120.364118,22.615768,2004,,,,,,
78,Jianan,8/26/2004,4204,4.33,27.4,608,6.2,269,388,20.8,0.14,7.98,104,2.15,0.0013,0.054,0.084,120.364118,22.615768,2004,,,,,,
79,Jianan,5/19/2004,4204,4.814,27.4,560,6.3,251,432,21.3,0.03,9.28,79.9,0.99,0.0011,0.012,0.095,120.364118,22.615768,2004,,,,,,
80,Jianan,2/20/2004,4204,4.984,27,507,6.4,238,337,16.8,0.1,6.75,73,1.73,0.0005,0.053,0.159,120.364118,22.615768,2004,,,,,,
81,Jianan,11/18/2003,4204,4.33,27.6,629,6.3,290,376,15.2,0.55,4.45,71.4,2.29,0.001,1.97,0.402,120.364118,22.615768,2003,,,,,,
